"id","nid","title","body","author_name","created_time","updated_time","event_type","name_of_speaker_affiliation","title_of_seminar_conference","venu","start_time","end_time","timezone"
229,"4988","Devaki Bhaya's Talk","Start: 20 Mar 2014 - 17:00 End: 20 Mar 2014 - 18:00 Abstract: Our lab focuses on cyanobacteria which are fascinating from several perspectives. As primary producers they contribute significantly to the fixed carbon budget in terrestrial and marine environments. Thus  a broader understanding of their role in biogeochemistry is important particularly as the magnitude and rapidity of global environmental changes become pressing issues. Currently  there is a growing interest in cyanobacteria as a source of clean biofuels and specialty products. Although my research interests focus on basic questions ranging from the mechanisms of photoperception to molecular ecology  our approaches and results may have utility and relevance to applied fields as well.             I will discuss the unexpected diversity we have uncovered in microbial and phage populations in extreme environments and the mechanisms by which this diversity is maintained and evolves over relatively short time scales. Thus  the major priority in my research program is the use of genomic molecular and computational tools to probe diversity and adaptations within microbial communities. I would also like to bring in my longstanding interest and understanding of phototaxis into our thinking of how organisms exquisitely sense and move in response to light gradients and qualities.             Some of the questions we are poised to answer will be best approached by working with colleagues with complementary interests and new technologies. This strategy coupled with our recent ability to grow and manipulate some of these organisms should allow us to build a strong framework that provides a mechanistic understanding of interacting communities in the environment.  Finally  we are interested in using our understanding of pathways e.g. nitrogen fixation  to repurpose them for particular uses Biography: https://dpb.carnegiescience.edu/labs/bhaya-lab Venue:Room 118  Creativity Hall  Chemical Engineering","webmaster","19 Mar 2014 - 12:48","19 Mar 2014 - 13:10","Seminar/Talk","Devaki Bhaya  Carnegie Institution  260 Panama Street  Stanford  CA94305","INTERACTING MICROBIAL COMMUNITIES: FROM METAGENOMICS TO MECHANISM","Room 118  Creativity Hall  Chemical Engineering","20 Mar 2014 - 17:00","20 Mar 2014 - 18:00","185"
230,"5013","Suresh K. Bhatia's Talk","Start: 4 Apr 2014 - 17:00 Abstract: The understanding of the mechanism of water adsorption in the hydrophobic nanospaces of carbons is critical to many industrial processes for gas separation and water purification  and to emerging nanotechnologies for desalination  CO2 capture from flue gas  and separation by nanofluidic devices. While there have been numerous attempts at simulating water adsorption in hydrophobic carbons using idealized models of independent slit pores  only qualitative agreement with experiment has been achieved  and the answer to the difficult question of how water enters such spaces has remained elusive. Using grand canonical Monte Carlo (GCMC) simulations with a realistic model of a disordered hydrophobic carbon  we show that the key to the puzzle is the connectivity of the structure – overlooked by independent slit pore models. Our simulations and data confirm that significant amount of water adsorbs below the saturation pressure in purely hydrophobic nanopores  and it is demonstrated that this occurs only when pore entries are sufficiently large to allow the passage of stable hydrogen-bonded water clusters. We investigate the effect of pore connectivity through synthetic models of connected and unconnected slit pores  and show that the connectivity to narrow water-filled pores mediates the adsorption of water in large hydrophobic nanospaces. This unique feature is not observed for nonpolar or weakly polar gases (e.g. Ar or N2) at subcritical conditions  and explains why the Kelvin equation fails to estimate the condensation pressure for water. The results open the door for the design and tailoring of efficient adsorbents for CO2 capture  in which the co-adsorption of water vapour which saturates flue gas is inhibited. About the speaker: Suresh Bhatia received a B.Tech. degree in chemical Engineering from the Indian Institute of Technology  Kanpur  and Master’s as well as PhD degrees from the University of Pennsylvania. He worked for a few years in industry in the USA  and for two years at the University of Florida  before joining the Indian Institute of Technology  Mumbai  in 1984  and subsequently The University of Queensland in 1996. His main research interests are in adsorption and transport in nanoporous materials and in heterogeneous reaction engineering  where he has authored over two hundred scientific papers in leading international journals. He has received numerous awards for his research  including the Herdillia Award for Excellence in Basic Research in Chemical Engineering  the Shanti Swarup Bhatnagar Prize for Engineering Sciences  and in 2009 the ExxonMobil Award for excellence in Chemical Engineering  from the Institution of Chemical Engineers. Since January 2010 he holds an Australian Professorial Fellowship from the Australian Research Council. He is a Fellow of two major academies – Australian Academy of Technological Sciences and Engineering  and the Indian Academy of Sciences ‑ and of the Institution of Chemical Engineers. He is the Regional Editor of the international journal Molecular Simulation. Between 2007 and 2009 he was the Head of the Division of Chemical Engineering at UQ  and was instrumental in its elevation to a School of Chemical Engineering.     Venue :  Creativity Hall (Room 118)  Chemical Engineering","webmaster","1 Apr 2014 - 16:58","1 Apr 2014 - 17:01","Seminar/Talk","Suresh K. Bhatia School of Chemical Engineering  The University of Queensland  QLD 4072  Australia","How Water Adsorbs in Hydrophobic Nanospaces","Creativity Hall (Room 118)  Chemical Engineering","4 Apr 2014 - 17:00","4 Apr 2014 - 17:00","185"
231,"5016","Sundar S.K.'s Talk","Start: 10 Apr 2014 - 17:00 End: 10 Apr 2014 - 18:00 Abstract: Drug delivery using liposomes for targeting the afflicted areas of the host has attracted significant interest in the scientific community. Despite the development of various processes for liposome synthesis  the application is limited due to issues related to process complexity and scale-up. Hence there is an urgent need of an alternative technique that can be scaled up to industrial scale. To this end  we focus on the self assembly of lipid molecules leading to the formation of liposomes in the sub-100-nm range via microfluidics.  We describe a novel technique to synthesize monodisperse liposomes in the sub-100 nm size range using a packed bed of colloidal particles which could also be used to simultaneously encapsulate a drug. The methodology involves drying lipids dispersed in an organic solvent in a capillary packed with colloidal particles  which upon hydration with an aqueous buffer containing a drug  leads to liposome formation with simultaneous encapsulation of the drug. Our experiments show that the size of the liposome is independent of the particle size or  the pore size. The entrapment efficiency of the liposomes prepared by hydration using low volumes (~200 µl)of aqueous medium indicates 30% of its overall capacity. This makes the proposed process a promising technique for liposome synthesis. Finally  we describe an automated process based on the packed bed process for continuous production of liposomes using alternate plugs of lipid and buffer interspersed by flow of nitrogen gas. In the second part  we investigate the dewetting phenomenon leading to hole formation in solid supported lipid bilayers obtained via spin coating.  The study involved lipid films of four different lipids dispersed in ethanol and chloroform on glass substrate to investigate the role of the nature of lipid  solvent  and film thickness on the characteristic length scale and the number density of the holes. For a fixed solvent and rotation rate  the average size of the hole increased with dry film thickness while the number density decreased with the film thickness. However  the measured hole sizes are about an order of magnitude lower than that predicted by the spinodal dewetting theory. The length scale of the holes were greater in case of ethanol compared to chloroform though the predicted trends are opposite.  Our results indicate that despite the discrepancy the hole formation is primarily driven by the spinodal dewetting process. Keywords: Microfluidics  Sub-100-nm Liposomes  Single step  Mondodisperse  Packed bed  Encapsulation  Lipid bilayer  Venue : Creativity Hall (Room 118)  Chemical Engineering","webmaster","7 Apr 2014 - 16:03","7 Apr 2014 - 16:06","Seminar/Talk","Sundar S.K.","Novel Methodology for Synthesizing Sub-Micron Liposomes","Creativity Hall (Room 118)  Chemical Engineering","10 Apr 2014 - 17:00","10 Apr 2014 - 18:00","185"
232,"5057","Dr Madhavan Nair's Talk","Start: 30 Apr 2014 - 12:00 End: 30 Apr 2014 - 13:00 ABSTRACT :  Nano-Cure for Neuro-AIDS and drug addiction Although highly active anti-retroviral therapy (HAART) has resulted in remarkable decline in the morbidity and mortality in AIDS patients  inadequately low delivery of anti-retroviral drugs across the bloodâ€“brain barrier (BBB) results in virus persistence. Opiates act synergistically with HIV-1   to potentiate the HIV-related neurotoxicity that leads to development of Neuro-AIDS. We herein report the development of a Magneto-Electric Nanocarrier (MEN) to deliver the drugs and demonstrate on-demand release of AZTTP by applying a low alternating current magnetic field.  Owing to the intrinsic magnetoelectricity  these nanoparticles can couple external magnetic fields with the electric forces in drugâ€“carrier bonds to enable remotely controlled delivery without exploiting heat. Functional and structural integrity of the drug after the release was confirmed in in vitro experiments with human immunodeficiency virus-infected cells. The proposed nanocarrier is anticipated to simultaneously reduce NeuroAIDS and opiate addiction in HIV-1 infected subjects who are opiate users. Venue : Seminar Room (B) ground floor  New BSBE","webmaster","28 Apr 2014 - 14:23","28 Apr 2014 - 14:27","Seminar/Talk","Dr Madhavan Nair  Professor and Founding Chair  Dept. of Immunology  Director  Institute of Neuro- ImmunePharmacology  FIU College of Medicine Associate  Dean  Bio. Med. Res  Florida International University",,"Nano-Cure for Neuro-AIDS and drug addiction","30 Apr 2014 - 12:00","30 Apr 2014 - 13:00","185"
233,"5071","Rucha Paranjpe's Talk","Start: 8 May 2014 - 17:00 End: 8 May 2014 - 18:00 Abstract Selective reduction of NO_X to N_2 is the most important reaction  occurring in automobile emission control devices. The three-way  catalytic converter (TWC) is one such extensively used device in  automobiles to treat exhaust gas emissions. The main chemical reactions  occurring in the TWC are the oxidation of carbon monoxide and  hydrocarbons to CO_2 and H_2 O; and the reduction of nitrogen oxides to  N_2 . TWC employs metals Pt and Rh in various ratios as the catalyst.  The other specific aspect of TWC is that these catalyst metals are  present as pure metals and alloy formation is avoided. It is reported  that such a physical mixture of Pt and Rh exhibits synergistic NO  reduction activity. Though this system is widely studied in literature   the exact reason behind this synergism is not explicitly known. In this work we have explored this aspect with the help of microkinetic  model simulations and few experiments. The NO reduction system is  complicated due to multiple reducing agents and catalysts working  simultaneously. The reactions NO+CO  NO+H_2 and NO+CO+H_2 on single  metals Pt and Rh and bimetallic Pt+Rh catalysts in the form of physical  mixtures are studied by developing microkinetic models from literature  and CHEMKIN PRO^® simulations for Perfectly Stirred Reactor (PSR) model.  A few fixed bed experiments on NO+CO/ Pt+Rh system are also performed. The some of the important finding are as follows: The activity of the catalyst depends upon two aspects  the activation  energy required for NO dissociation and for the reaction between  reducing agent and adsorbed oxygen. From the microkinetic model for  NO+CO reaction  it is observed that CO_2 formation has almost same  activation energy on both Pt and Rh (~ 23 kcal/mol) but NO dissociation  activation energy is almost half on Rh (6kcal/mol) of that on Pt (13  kcal/mol). This explains why Rh is more active than Pt for NO+CO  reaction. When a physical mixture of Pt and Rh is used  the overall  activity is dominated by Rh. Similarly for NO+H_2 reaction  from the  microkinetic model  it is observed that activation energy for OH_S  formation (precursor for water) is low on Pt (8 kcal/mol) than on Rh (14  kcal/mol) and hence Pt is more active than Rh for NO+H_2 reaction. When  a physical mixture of Pt and Rh is used  the mixture activity is  dominated by Pt. When both CO and H_2 are present  then the H_2 acts as  the preferred reducing agent.  Venue :  Room 118  Chemical Engg.","webmaster","7 May 2014 - 09:56","7 May 2014 - 09:59","Seminar/Talk","Rucha Paranjpe PhD Student  Chemical Engg. IITB","Detailed Modeling of Catalytic Reduction.","Room 118  Chemical Engg.","8 May 2014 - 17:00","8 May 2014 - 18:00","185"
234,"5072","Ramesh Naidu's Talk","Start: 15 May 2014 - 17:00 End: 15 May 2014 - 18:00 Abstract Underground coal gasification (UCG) is a well proven technology which  permits access to coal which either lies too deep underground  or is  otherwise too costly to be exploited using conventional mining  techniques. During the UCG process  a cavity is formed in the coal seam  when coal is converted to gaseous products. The rate of growth of this  cavity and its shape at any given time depends on the reactant gas flow  patterns  kinetics. It leaves us with a scope to investigate the  kinetics of the processes in UCG. Pyrolysis is an important step in the combustion and gasification of  coal  and its kinetics plays an important role in the design of  pertinent reactors. In this work  we have studied the kinetics of  pyrolysis of three Indian lignite samples via experiments and  mathematical modeling. Applicability of various kinetic models viz. the  single global reaction model  the consecutive reaction model and the  distributed activation energy model is evaluated. The kinetic parameters  of the models are estimated based on the experimental data. Kinetics of  the evolution of the volatile matter is studied independently by using a  specially designed fixed bed reactor and the relevant kinetic parameters  are estimated. Gasification of four Indian coals is carried out in a CO2 atmosphere   using a thermo gravimetric analyzer (TGA)  to determine the intrinsic  kinetics over a temperature range of 800-10500C with different partial  pressures of CO2. The applicability of three models viz. the volumetric  reaction model  the shrinking core model and the random pore model is  evaluated. Of these three models  the random pore model is found to be  the most suitable for all the coals considered in the current study. The  dependence of the reaction rate on the gas-phase partial pressures is  explained by the Langmuir - Hinshelwood model and the parameters for the  inhibition due to CO and CO2 are determined by performing experiments at  different partial pressures.. A one dimensional reaction diffusion model  is therefore developed in order to determine the diffusional resistance  in the coal particle  and values of diffusivity are estimated. Steam gasification of Indian coals is carried out in a fixed bed  reactor  to determine the intrinsic kinetics over a temperature range of  740-8300C with different partial pressures of steam. The applicability  of the random pore model is evaluated. The kinetic parameters are estimated. Venue : Room 118  Creativity Hall  Chemical Engineering","webmaster","15 May 2014 - 08:41","15 May 2014 - 08:43","Seminar/Talk","Ramesh Naidu  Phd Student  Chemical Engg.IIT Bombay.","Kinetic Studies in Underground Coal Gasification","Creativity Hall (Room 118)  Chemical Engineering","15 May 2014 - 17:00","15 May 2014 - 18:00","185"
235,"5074","Bhoja Reddy's Talk","Start: 22 May 2014 - 17:00 End: 22 May 2014 - 18:00 Title : Studies in adsorptive and Reactive Separations  Abstract Adsorptive techniques are becoming important when the mixture is complex  to separate by conventional methods like distillation. This work is  divided into two case studies; first one is “synthesis of carboxylic  esters using reactive chromatography” and the other is “separation of  hydrogen isotopes using palladium adsorbents”. The integration of a  reaction and chromatographic separation into a single unit is called as  reactive chromatography (RC). Application of RC for synthesis of esters  through esterification of acetic acid with corresponding alcohols using  ion exchange resin  Amberlyst-15 has been studied. This study includes  feasibility test  kinetics data estimation  model validation using  simulated moving bed reactor (SMBR) experimental results  optimization  of operating conditions and operating cost comparison for the two  multifunctional reactors i.e. reactive distillation and chromatographic  reactor. Feasibility of hydrogen isotope separation through different  chromatographic methods is explored. Palladium is found to have highest  separation factor for hydrogen isotopes at ambient temperature  is  selected as adsorbent. Simulators for chromatographic techniques are  developed and are validated using chromatographic experimental results.  To recover high purity deuterium in continuous mode  a six column  simulated moving bed chromatographic (SMBC) set-up is proposed  based on  experimentally validated simulator.  Venue:Room 118  Chemical Engg.","webmaster","21 May 2014 - 08:00","21 May 2014 - 08:02","Seminar/Talk","Bhoja Reddy  PhD Student  Chemical Engg. IITB","Studies in adsorptive and Reactive Separations","Creativity Hall (Room 118)  Chemical Engineering","22 May 2014 - 17:00","22 May 2014 - 18:00","185"
236,"5075","Sanjib Sikder's Talk","Start: 29 May 2014 - 17:00 End: 29 May 2014 - 18:00 Title : Study of Compound Semiconductors Using Molecular Simulations  Abstract: Compound semiconductor alloys constitute an important class of materials  with unique opto-electronic properties which find use in many devices  such as those used for display or data storage applications. The work  consists of three sections employing Monte Carlo (MC) simulation  techniques; first one is a study of structural properties of III-V  binary alloys  second one is a study of miscibility characteristics of  III-V and II-VI ternary alloys and the third one is a study of  structural properties of III-V and II-VI ternary alloys. The structural  properties of the III-V binary alloys (modelled using the Abell-Tersoff  potential) have been investigated using the standard Metropolis MC  algorithm in the isothermal isobaric ensemble at 300 K and 1 bar. Having  established  by comparison with experimental and molecular dynamics (MD)  simulation generated data from literature  that MC techniques can be  applied to predict structural properties of the binary III-V alloys with  reasonable accuracy  we studied the miscibility characteristics and  structural properties of the III-V and II-VI ternary alloys. The  miscibility diagrams (temperature as a function of composition at 1 bar)  of these ternary alloys (modelled using the valence force field (VFF)  potential)  determined in the work of this thesis using the transition  matrix Monte Carlo (TMMC) method in the isothermal isobaric semigrand (N    P   T   ξ2 ) ensemble are found to be asymmetric. MC simulations have  been performed in the isothermal isobaric semigrand (N   P   T   ξ2 )  ensemble to determine the lattice constants  nearest neighbour and next  nearest neighbour bond lengths  and bond angles at 300 K and 1 bar. We  have analyzed the variation of these properties with composition using  Z-plots and bond-type dependent topological rigidity parameters. Kelires  and his co-workers had indicated the shortcomings of the MD technique to  predict the properties of the group IV alloys and have pioneered the use  of MC which does not have limitations of MD. We have extended the use of  MC to study the ternary alloys especially to determine the miscibility  diagrams without assuming the regular solution theory.   Venue : Room 118  Chemical Engg. ","webmaster","26 May 2014 - 10:58","26 May 2014 - 11:00","Seminar/Talk","Sanjib Sikder Ph.D. student Chemical Engineering  IITB","Study of Compound Semiconductors Using Molecular Simulations","Creativity Hall (Room 118)  Chemical Engineering","29 May 2014 - 17:00","29 May 2014 - 18:00","185"
237,"5076","Amaresh R.' Talk","Start: 5 Jun 2014 - 17:00 End: 5 Jun 2014 - 18:00 Title : Solid-solid reactions: An experimental and modeling study  Knowledge of kinetics of reaction among the particulate solids has many diverse applications including synthesis of ceramics  cements  catalysts  ferrites  etc. It has been argued in the recent literature that such reactions have to be analyzed taking into account the fact that contact between the reacting particles occurs in a finite number of discrete `contact’ points. Among the models based on such considerations  the model of Dalvi & Suresh (2011) has the correct asymptotic limits. In present study  single step reaction between intimately mixed solid powders of Ca12Al14O33 (C12A7) and CaO (C) in formation of Ca3Al2O4 (C3A) is studied as a candidate system. The two major purposes of this study are (i) To demonstrate the effect of number of contact points (between particles of C and those of C12A7) and hence examine the validity of the contact point models (ii) To evolve a methodology consistent with the contact point models for estimating the kinetic parameters from literature. The scope of work involves (i) Synthesis of C12A7 and C with desired sizes to design experiments with different NAB; (ii) establishment of a protocol based on quantitative XRD for analysis of reaction samples (iii) Performing reactions on intimately mixed and pelletized specimens with wide range of NAB (3 to 3487) and at different temperatures; (iv) establishment of a parameter estimation methodology to interpret the kinetic data and determination of the kinetic parameters. It is shown in this study that  NAB significantly affects the kinetics and estimated kinetic parameters  diffusion co-efficient (D)  activations energy (Q)  and Initial neck size ratio between reacting particles (x1) in C12A7-C system by interpretation of data with diffusion controlled models from literature (Dalvi & Suresh  2011; Ginstling & Brounshtein  1950). Venue : Creativity Hall (Room 118)  Chemical Engineering ","webmaster","5 Jun 2014 - 08:07","5 Jun 2014 - 08:10","Seminar/Talk","Amaresh R. Ph.D. student Chemical Engineering  IITB","Solid-solid reactions: An experimental and modeling study","Creativity Hall (Room 118)  Chemical Engineering","5 Jun 2014 - 17:00","5 Jun 2014 - 18:00","185"
238,"5083","Kamal Prashad Segar's Talk","Start: 26 Jun 2014 - 17:00 End: 26 Jun 2014 - 18:00 Abstract Technological breakthrough in recombinant DNA technology combined with  advanced bioprocesses has made commercial production of recombinant  biologics possible at a large scale. Nearly 70% of the biologics are  produced using Chinese Hamster Ovary (CHO) cells as the hosts. Investing  quite a huge amount of money and time in creating a ""producer cell  line""  biopharmaceutical industries focus on enhancing productivity to  gain higher profits. To enhance productivity  it is essential to  understand productivity at the molecular level. Productivity is a  multifaceted phenomenon involving different metabolic pathways inside  the cell. Engineering growth  apoptosis and energy metabolism leads to  an increase in total cell numbers and high product titres. In contrast   engineering protein secretion increases the protein production per cell  by enhancing the protein processing efficiency of the cell. Different  cell engineering approaches had been tried in the past to increase the  productivity using this pathway. Though promising  the results from  these studies are conflicting and are often cell line and protein  dependent.  The objective of this project is to understand the relationship between  productivity and protein processing inside the Endoplasmic Reticulum  (ER) using a systems approach. Two recombinant CHO cell lines secreting  anti-rhesus D IgG with a 10-fold difference in their productivities were  compared at their growth and recombinant mRNA levels. Specific protein  processing pathway genes of ER were also compared at their mRNA levels  between these cell lines. IgG heavy chain mRNA was limiting productivity  with dynamic expression of chaperones and UPR genes. Interestingly  mRNA  levels of IgG HC and key UPR genes showed a higher correlation with  productivities. Further  the expression of recombinant mRNA and UPR  activity were perturbed using chemical modulators. Perturbing  recombinant mRNA expression lead to an increase in productivity with  transient induction of major ER stress response genes. Artificial  induction of ER stress did not increase productivity suggesting that  both recombinant mRNA expression and higher UPR activity are essential  to increase productivity in recombinant CHO cells. With the availability  of huge amount of growth  kinetic  productivity and mRNA levels of  different UPR genes in different cell lines  a multivariate regression  analysis was done to identify key factors influencing productivity.  These factors may be of vital importance in the process of creating a  ""super producer"".  Venue : Creativity Hall  Room 118  Chemical Engineering","webmaster","25 Jun 2014 - 11:37","25 Jun 2014 - 11:39","Seminar/Talk","Kamal Prashad Segar PhD Student Department of Chemical Engineering  IIT Bombay","Systems biology of Unfolded Protein Response (UPR) in  recombinant CHO cells","Creativity Hall  Room 118  Chemical Engineering","26 Jun 2014 - 17:00","26 Jun 2014 - 18:00","185"
239,"5089","Dr. Ankur Verma's Talk","Start: 9 Jul 2014 - 17:00 Abstract: Top down nano-fabrication methods are limited by the fact that it is not  possible to incorporate complex location specific details on surface at  molecular length scales. In this talk I will address this limitation and  show how self-organization in thin films and macromolecular  self-assembly based techniques such as DNA origami may solve this  problem. The fabrication of patterned and functionalized surfaces is an  area of increasing interest because of its potential applications in  microfluidics  micro-electromechanical systems (MEMS)  polymer  electronics including organic light emitting diodes (OLEDs)   multifunctional coatings (insulation  optical  protective  adhesive  etc.) micro- and nano- optics systems  memory devices  membranes and  bioengineering. DNA nanotechnology provides unique solution by building  structures of technological and medical importance using  sequence-specific interaction between two or more complementary DNA  strands. Using DNA nanotechnologies one can make two- and  three-dimensional crystal lattices  nanotubes  arbitrary designed  shapes  functional devices such as molecular machines and DNA computers.  DNA based nanostructures are precise up to few nanometers and are highly  scalable but limited by the maximum size that it can grow which in most  cases is less than few micrometers. In my talk  I will show integration  of DNA nanostructures on lithographically patterned surfaces to build  programmable self-assembled hybrid devices.  About speaker: Ankur Verma completed his 2 year postdoctoral fellowship in the  department of Chemical and Biomolecular Engineering and Institute of  Nanobiotechnology at Johns Hopkins University  Baltimore USA. He did his  PhD in 2011 from IIT Kanpur working with Prof. Ashutosh Sharma in the  Department of Chemical Engineering. His area of interest include DNA  Nanotechnology  interfacial science  nanofabrication  thin-film  instabilities and patterning. He has received Malhotra Weikfield  Foundation Nanoscience Fellowship  Shah-Schulman Award for the best PhD  Thesis in the area of Colloid and Interface Sciences (2011) and DST-INSA  Inspire Faculty Fellowship in Engineering and Technology (2011). He has  published 9 articles in peer reviewed journals and has 2 U.S. patents.  Room 118  Creativity Hall  Chemical Engineering ","webmaster","7 Jul 2014 - 16:39","7 Jul 2014 - 16:43","Seminar/Talk","Dr. Ankur Verma  Postdoc  IIT Kanpur","Nanofabrication: Top-Down meets Bottom-up","Room 118  Creativity Hall  Chemical Engineering","9 Jul 2014 - 17:00","9 Jul 2014 - 17:00","185"
240,"5101","N. R. Srinivasan's Talk","Start: 24 Jul 2014 - 17:00 End: 24 Jul 2014 - 18:00 Abstract : Nanoparticles are generally embedded inside the pores of porous solid to  prevent their aggregation  in order to achieve better performance in  catalysis  water treatment  etc. The present work aims to show that  nanoparticles need not be embedded only inside the pores  but can also  be embedded in different regions of porous solid (in-between the pores  or on the external surface of solid etc.) to enhance the reactivity in  diffusion-adsorption-reaction systems. The reactivity enhancement is not  only based on the location of particles in the porous solid but also on  the structural features of the latter. With this objective  I will  discuss about photocatalytic degradation of dye by semiconductor  nanoparticle (SnO2  TiO2  and SnxTi1-xO2) - mesoporous silica (SBA-15)  hybrid in the first part of the talk  where nanoparticles are embedded  inside the hydrophilic SBA-15 without pore blockage. We find that  obtained first order rate constant (K = 0.031 min-1) by  Sn0.05Ti0.95O2-SBA-15 is more than ten times and five times of only SnO2  and only TiO2 nanoparticles  respectively. Next  I will discuss about  SnO2-CMK-5 in the second part of talk  where SnO2 nanoparticles are  embedded in-between the mesopores of the hydrophobic CMK-5 and tested  for its reactivity against lithium-ion in lithium-ion battery. The  diffusion coefficient of the Li+ ion inside SnO2-CMK-5 (1.1 × 10-13 cm2  s-1) is two orders of magnitude larger than that of only bare SnO2  electrodes (8.5 × 10-15 cm2 s-1). As a result  the specific capacity by  SnO2-CMK-5 is 598 mA h g-1 at a current density of 178 mA g-1 after 30  cycles  which is much higher than that of only SnO2 (42 mA h g-1) or  only CMK-5 (218 mA h g-1) electrodes. Finally  to show the benefit of  particle location on the external surface of a porous solid  a strategy  to selectively attach more Ag nanoparticles on the external surface of  activated carbon was developed to increase the death rate of E.coli.  This shows an order of magnitude increase in death rate constant from  3.72 to 41.88 h−1. These three studies thus show the importance of  selective embedding of nanoparticles on a mesoporous solid to enhance  their reactivity by considering the advantage of different templating  and surface functionalization strategies  for optimum benefit  as per  the needs of the application  whether  photocatalysis  energy storage  device or water treatment. Venue : Room 118  Creativity Hall  Chemical Engg.","webmaster","22 Jul 2014 - 13:54","22 Jul 2014 - 13:57","Seminar/Talk"," N. R. Srinivasan  Ph D Student  IITB","Selectively Embedded Nanoparticles in Porous Solids: Hybrids with  Enhanced Reactivity","Room 118  Creativity Hall  Chemical Engineering","24 Jul 2014 - 17:00","24 Jul 2014 - 18:00","185"
241,"5096","Anees Khan's Talk","Start: 17 Jul 2014 - 17:00 End: 17 Jul 2014 - 18:00 Abstract Immobilized enzyme based glucose biosensors are in demand for diabetes  management. In the present work  glucose oxidase (GOD) enzyme was  immobilized in mesoporous silica (SBA-15) host particles. The effect of  external morphology  aspect ratio  internal pore diameter of SBA-15  particles and surface functionalization of SBA-15 on GOD activity and  performance of the glucose biosensor was studied. Activity and glucose  sensing experiments suggest that  amine functionalized SBA-15 host  particles (cuboid morphology) with smaller aspect ratio (1.1) and larger  mesopore diameter (11.4 nm)  together with appropriate enzyme loading  density (0.043 μg GOD/cm2 area of electrode) and ferrocene (an electron  mediator  40 μM)  ensures good sensor performance. This led to a large  linear range of glucose (0.4-13.0 mM)  better sensitivity (0.65  µAcm-2mM-1) and a short response time (< 5 s). As the glucose sensing in  this work was based on enzymatically generated hydrogen peroxide (H2O2)   hence  a highly selective and sensitive H2O2 chemical sensor was  developed by impregnating silver nanoparticles (AgNPs) in amine  functionalized cuboid SBA-15 host particles. The sensor showed a wide  linearity range (5.3-124.5 mM H2O2) and a high sensitivity of 171.3 μA  cm−2 mM−1  due to a high loading (17.2 wt.%) of electrically conductive  AgNPs achieved in host particles. Therefore  the present work  demonstrate that a careful selection of both structural (particle  morphologies  aspect ratio  internal pore diameter  surface  functionalization) and compositional (enzyme loading  electron mediator   AgNP loading) variables leads to improved performances of both biosensor  and chemical sensor  in terms of desirable sensor-characteristics  like  linearity  sensitivity  selectivity and speed of response. Venue : Room 118  Creativity Hall  Chemical Engineering","webmaster","16 Jul 2014 - 08:06","16 Jul 2014 - 08:08","Seminar/Talk","Anees Khan Phd Student  IITB","Mesoporous silica as a host for impregnation of enzyme and metal  nanoparticles for improved sensor performance","Room 118  Creativity Hall  Chemical Engineering","17 Jul 2014 - 17:00","17 Jul 2014 - 18:00","185"
242,"5107","Dr. Umang Agarwal's Talk","Start: 31 Jul 2014 - 17:00 End: 31 Jul 2014 - 18:00 Abstract: This talk will provide an overview of the computational research conducted for understanding and predicting thermodynamics and rheological properties of self-assembled nanomaterials  industrial polymeric resins and bituminous materials (petrochemical heavy residues). Thermodynamics and rheology of self assembled mesophases of nanoparticles:    Anisotropic interaction fields encoded in nanoparticles of non-spherical shape can drive their assembly into many complex  ordered or partially ordered structures (”mesophases”). Some of these self-assembled ’phases’ are highly desirable for their distinctive electronic  mechanical and optical properties and are very sensitive to the inherent interactions of their building blocks and other external driving fields. To understand the basic principles controlling formation of these assemblies  we performed systematic simulation studies to explore the effect of ’shape’ or excluded volume interactions on the equilibrium mesophase behavior and on selected non-equilibrium mechanical properties of these systems. Together  these findings makes a stride towards general understanding and classification of the effect of particle shape on thermophysical properties of its assemblies.  Rheology of industrial polymeric resins:      An integrated kinetic Monte Carlo  tube theory approach is constructed to generate molecular ensembles of polymeric resins with their topological details based on the reactor process conditions and catalyst chemistry. These detailed ensembles are hence used to generate relevant information for tube theory calculations which result in rheology predictions for industrial polymeric resins. Thermodynamic stability and mechanical properties of bitumen:     Research in underway to design a coarse graining molecular dynamics strategy to investigate the thermodynamic stability and performance properties of these widely used road paving materials. Thermodynamic phase stability model based on Flory-Huggins theory and (experimentally determined) solubility parameters are extended for solving stability issues in refinery operations.  Bio-Sketch: Dr. Umang Agarwal is currently working as a Researcher-soft matter and kinetics at Shell Technology Centre Bangalore . He pursued his undergraduate education in Chemical Engineering at IIT Kanpur completing his B.Tech. degree in June  2007. He then pursued his doctoral research at the Chemical and Biomolecular Engineering department of Cornell University beginning August 2007 and was awarded an MS degree in 2011 and PhD degree in 2012. He then moved to the Netherlands and worked as a Marie-Curie postdoctoral fellow with Dow Benelux BV (Feb 2012-July 2013). Since August-2013 he is working as a researcher in Shell  India. His main research interest is in molecular simulation methods  and thermodynamics and rheology of soft matter systems. Venue:Creativity Hall  Room 118  Chemical Engineering","webmaster","29 Jul 2014 - 10:51","29 Jul 2014 - 10:58","Seminar/Talk","Dr. Umang Agarwal Shell Technology Centre Bangalore.","Computational approach to thermodynamics and rheology of soft matter systems.","Creativity Hall  Room 118  Chemical Engineering","31 Jul 2014 - 17:00","31 Jul 2014 - 18:00","185"
